James, Perez, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 1, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Luis, Harden, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 1, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Josh, Duncan, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 1, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Josh, Milanesio, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 1, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
James, Davidson, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 1, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Anthony, Davidson, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 2, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Anthony, Perez, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 2, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Ignacio, Davidson, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 2, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Luka, Waiters, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 2, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Josh, Lopez, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 2, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Carlos, Milanesio, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 3, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Giannis, Scola, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 3, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Matias, Davidson, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 3, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Klay, Alvarez, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 3, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Klay, Davidson, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 3, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Federico, Waiters, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 4, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Giannis, James, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 4, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Federico, George, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 4, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Ignacio, Middleton, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 4, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Manu, Sanchez, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 4, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Josh, Middleton, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 5, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Federico, Ginobili, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 5, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Josh, Waiters, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 5, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
George, Davis, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 5, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Michael, Perez, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 5, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Steph, Curry, 20, 170, 10, 75, 90, 30, 90, 0, 50, 10, 20, 10, 20, 20, 0, 6, 10, 0, 70, 10, 100, 70, 30, 0, 60, 30, 80, 60
Klay, Davidson, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 6, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Manu, Milanesio, 20, 170, 50, 20, 30, 40, 90, 0, 90, 70, 50, 50, 70, 70, 0, 6, 30, 0, 50, 30, 100, 50, 40, 0, 70, 40, 80, 70
Carmelo, Perez, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 6, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Federico, Davis, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 6, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
Federico, Jordan, 20, 170, 90, 10, 40, 40, 70, 0, 50, 10, 20, 10, 40, 40, 0, 7, 60, 0, 70, 60, 100, 70, 30, 0, 60, 30, 80, 60
